Unnamed: 0,Cuisine,Dish Name,Ingredients,Calories,Carbs,Fat,Protein,Recipe_url
0, Amish and Mennonite,Baked Oatmeal,oat brown sugar ground cinnamon baking powder salt egg milk butter vanilla extract cranberry,393,59,15,7,https://www.allrecipes.com/recipe/51013/baked-oatmeal-ii/
1, Amish and Mennonite,Amish White Bread,warm water sugar dry yeast vegetable oil salt bread flour,168,31,3,4,https://www.allrecipes.com/recipe/6788/amish-white-bread/
2, Amish and Mennonite,Cheesy Amish Breakfast Casserole,bacon sweet onion egg beaten frozen hash brown potato thawed cheddar cheese curd cottage cheese cheese,314,12,23,22,https://www.allrecipes.com/recipe/229150/cheesy-amish-breakfast-casserole/
3, Amish and Mennonite,Best Vinegar Coleslaw,cabbage onion sugar vinegar vegetable oil celery seed salt mustard pepper,224,35,9,2,https://www.allrecipes.com/recipe/59318/amish-slaw/
4, Amish and Mennonite,Pennsylvania Dutch Pickled Beets and Eggs,egg beet juice onion sugar cider vinegar clove bay leaf salt ground pepper,252,45,5,7,https://www.allrecipes.com/recipe/13743/pennsylvania-dutch-pickled-beets-and-eggs/
5, Amish and Mennonite,Amish Macaroni Salad,elbow macaroni egg onion celery bell pepper dill pickle relish creamy salad sugar yellow mustard vinegar celery seed salt,532,66,25,9,https://www.allrecipes.com/recipe/74915/amish-macaroni-salad/
6, Amish and Mennonite,Amish Friendship Bread Starter,dry yeast warm water flour sugar milk,34,8,0,1,https://www.allrecipes.com/recipe/7063/amish-friendship-bread-starter/
7, Amish and Mennonite,My Amish Friend's Caramel Corn,plain popped popcorn dry peanut brown sugar margarine light corn syrup salt vanilla extract baking soda,238,22,16,3,https://www.allrecipes.com/recipe/74950/my-amish-friends-caramel-corn/
8, Amish and Mennonite,Pennsylvania Dutch Corn Pie,potato kernel corn cream-style corn egg salt pepper milk butter crust ready-to-use pie crust,417,52,21,9,https://www.allrecipes.com/recipe/85166/pennsylvania-dutch-corn-pie/
9, Amish and Mennonite,Amish Peanut Butter,light corn syrup peanut butter smooth marshmallow creme,74,12,3,1,https://www.allrecipes.com/recipe/140605/amish-peanut-butter/
10, Amish and Mennonite,Amish Meatloaf,ground beef cracker onion egg ketchup brown sugar bacon ketchup vinegar salt yellow mustard brown sugar,464,46,21,24,https://www.allrecipes.com/recipe/65250/amish-meatloaf/
11, Amish and Mennonite,Amish Potato Salad,potato skin onion celery carrot celery seed egg egg beaten sugar cornstarch salt apple cider vinegar milk yellow mustard butter mayonnaise salad,497,49,31,9,https://www.allrecipes.com/recipe/73875/amish-potato-salad/
12, Amish and Mennonite,Amish Friendship Bread I,friendship bread starter vegetable oil egg flour sugar ground cinnamon salt baking soda baking powder vanilla extract,119,16,6,2,https://www.allrecipes.com/recipe/6856/amish-friendship-bread-i/
13, Amish and Mennonite,Amish Buttered Egg Noodles,butter chicken broth chicken bouillon granule egg noodle,260,41,7,9,https://www.allrecipes.com/recipe/276198/amish-buttered-egg-noodles/
14, Amish and Mennonite,Amish Sugar Cakes,butter sugar egg vanilla extract flour baking powder baking soda cream tartar salt buttermilk sugar,186,27,8,2,https://www.allrecipes.com/recipe/20967/amish-sugar-cakes/
15, Amish and Mennonite,Amish Casserole,ground beef tomato soup brown sugar pepper salt cream chicken soup egg noodle cheese,630,57,30,33,https://www.allrecipes.com/recipe/93223/amish-casserole/
16, Amish and Mennonite,Herman Sourdough Starter,dry yeast warm water flour sugar sugar flour milk,382,82,2,9,https://www.allrecipes.com/recipe/7160/herman-sourdough-starter/
17, Amish and Mennonite,Ground Cherry Pie II,ground cherry packed brown sugar flour water pie shell flour sugar butter,214,34,8,2,https://www.allrecipes.com/recipe/12671/ground-cherry-pie-ii/
18, Amish and Mennonite,Portzelky (New Year's Cookies),sugar lukewarm water dry yeat raisin egg lukewarm milk salt flour vegetable oil confectioner sugar,72,12,2,2,https://www.allrecipes.com/recipe/230522/portzelky-new-years-cookies/
19, Amish and Mennonite,Amish Peach Dumplings,water sugar butter peach flour baking powder salt milk,190,41,2,3,https://www.allrecipes.com/recipe/238197/amish-peach-dumplings/
20, Amish and Mennonite,Amish Bread,bread flour canola oil dry yeat sugar salt warm water,58,4,5,0,https://www.allrecipes.com/recipe/22451/amish-bread/
21, Amish and Mennonite,Amish Custard Cottage Cheese Pie,curd cottage cheese sugar flour lemon juice salt egg yolk egg milk milk pie shell,220,26,10,8,https://www.allrecipes.com/recipe/12687/amish-custard-cottage-cheese-pie/
22, Amish and Mennonite,Amish Baked Oatmeal,quick-cooking oat packed brown sugar milk vegetable oil egg beaten baking powder salt ground cinnamon,375,50,18,7,https://www.allrecipes.com/recipe/276024/amish-baked-oatmeal/
23, Amish and Mennonite,Rollkuchen (Mennonite Fritters),egg flour salt canola oil,80,9,4,2,https://www.allrecipes.com/recipe/143075/rollkuchen-mennonite-fritters/
24, Amish and Mennonite,Amish Friendship Cake,flour sourdough starter sugar vegetable oil egg baking powder vanilla extract salt walnut baking soda,256,34,11,6,https://www.allrecipes.com/recipe/7831/amish-friendship-cake/
25, Amish and Mennonite,Amish Tomato Pie,pie crust pastry heirloom tomato roma tomato raw bacon leek cheddar cheese fontina cheese mayonnaise basil torn piece egg dijon mustard salt ground pepper,469,19,37,17,https://www.allrecipes.com/recipe/281218/amish-tomato-pie/
26, Amish and Mennonite,Amish Salisbury Steak,ground beef milk saltine cracker onion salt ground pepper cream mushroom soup,334,22,18,20,https://www.allrecipes.com/recipe/231336/amish-poor-mans-steak/
27, Amish and Mennonite,Wet-Bottom Shoofly Pie,flour brown sugar baking soda water dark corn syrup molasses salt egg pie crust,407,73,12,5,https://www.allrecipes.com/recipe/20324/wet-bottom-shoofly-pie/
29, Amish and Mennonite,Amish Friendship Banana Nut Bread,ripe banana friendship bread starter egg sugar walnut milk flour baking powder baking soda salt,160,23,7,3,https://www.allrecipes.com/recipe/142527/amish-friendship-banana-nut-bread/
